"Brand","Model","Year","Brochure / PDF URL"
"Nissan","Sunny (N17)","2024/25","https://www-europe.nissan-cdn.net/content/dam/Nissan/eg/brochures/NISSAN_SUNNY_BROCHURE.pdf"
"","Sentra","2024/25","https://www-europe.nissan-cdn.net/content/dam/Nissan/eg/brochures/SENTRA.pdf"
"","Qashqai (J12)","2024/25","https://www-europe.nissan-cdn.net/content/dam/Nissan/eg/brochures/NISSAN_QASHQAI_BROCHURE.pdf"
"","X-Trail e-POWER","2025","https://www-europe.nissan-cdn.net/content/dam/Nissan/eg/brochures/ALL-NEW-NISSAN-X-TRAIL-EGP.pdf"
"","Juke","2024","https://www-europe.nissan-cdn.net/content/dam/Nissan/eg/brochures/JUKE_BROCHURE.pdf"
"","Patrol","2024","https://www-europe.nissan-cdn.net/content/dam/Nissan/eg/brochures/PATROL_BROCHURE.pdf"
"","Urvan","2024","https://www-europe.nissan-cdn.net/content/dam/Nissan/eg/brochures/URVAN_BROCHURE.pdf"
"Chery","Tiggo 8 Pro Max","2025","https://www.chery-eg.com/media/files/TIGGO_8_PRO_MAXbrochure_2025-07-30_121132.684057.pdf"
"","Tiggo 7 Pro Max","2025","https://www.chery-eg.com/media/files/TIGGO_7_PRO_MAXbrochure_2025-09-22_122313.167130.pdf"
"","Arrizo 8","2025","https://chery-eg.com/media/files/ARRIZO_8brochure_2025-07-31_102846.119434.pdf"
"","eQ7 (EV)","2025","https://chery-eg.com/media/files/eQ7brochure_2024-09-12_123035.779724.pdf"
"","Tiggo 4 Pro","2025","https://www.chery-eg.com/media/files/TIGGO_4_PRObrochure_2024-09-12_123606.135147.pdf"
"","Tiggo 8 Pro","2024","https://www.chery-eg.com/media/files/TIGGO_8brochure_2024-10-28_170320.927337.pdf"
"","Tiggo 7 Pro","2024","https://www.chery-eg.com/media/files/TIGGO_7_PRObrochure_2024.pdf"
"","Arrizo 5","2024","https://www.chery-eg.com/media/files/ARRIZO_5brochure_2025-08-26_120912.728777.pdf"
"","Tiggo 3","2024","https://chery-eg.com/media/files/Tiggo_3brochure_2022-10-26_120144.535042.pdf"
"Chevrolet","Captiva","2025","https://www.chevroletarabia.com/content/dam/chevrolet/middle-east/egypt/english/index/cars/2025-captiva/MY25-Captiva-Brochure.pdf"
"","Optra","2026","https://www.chevroletarabia.com/content/dam/chevrolet/middle-east/egypt/english/index/cars/2026-optra/the-all-new-optra-2026-brochure.pdf"
"","T-Series (Pickup)","2025","https://www.chevroletarabia.com/content/dam/chevrolet/middle-east/egypt/english/index/download-a-brochure/may-2023-brochures/Dabbaba-Brochure.pdf"
"","T-Series (Jumbo)","2025","https://www.chevroletarabia.com/content/dam/chevrolet/middle-east/egypt/english/index/download-a-brochure/2025/T-Series-Updated-Brochure.pdf"
"","Move (Van)","2024","https://www.chevroletarabia.com/content/dam/chevrolet/middle-east/egypt/english/index/cars/2018-move-n300/mov/02-images/move.pdf"
"","Malibu","Legacy","https://www.chevroletarabia.com/content/dam/chevrolet/middle-east/egypt/english/index/download-a-brochure/2020-brochures/Malibu_MY20_Brochure_EN.pdf"
"Kia","Sportage","2025","https://www.kia.com.eg/uploads/models/6902014ecd8991761739086.pdf"
"","Seltos","2025","https://www.kia.com.eg/uploads/models/68ab15690737f1756042601.pdf"
"","Sorento","2024","https://www.kia.com.eg/uploads/models/68496748289da1749641032.pdf"
"","XCeed","2024","https://www.kia.com.eg/uploads/models/64c949569d8921690913110.pdf"
"","Grand Cerato","2024","https://www.kia.com.eg/uploads/models/611a740cdad5e1629123596.pdf"
"Hyundai","Accent RB","2024","https://hyundai-egypt.net/wp-content/uploads/2024/05/Accent-RB_NEW-Final.pdf"
"","Elantra CN7","2024","https://hyundai-egypt.net/wp-content/uploads/2021/09/CN7-Brochure.pdf"
"","Tucson (NX4)","2024","https://hyundai-egypt.net/wp-content/uploads/2021/09/Tucson-NX4-Brochure-amended.pdf"
"","Bayon","2024","https://hyundai-egypt.net/wp-content/uploads/2021/12/Bayon-BROCHURE_compressed.pdf"
"","i10","2024","https://hyundai-egypt.net/wp-content/uploads/2022/02/i10-Brochure.pdf"
"","I20","2024","https://hyundai-egypt.net/wp-content/uploads/2021/09/I20-BROCHURE-1.pdf"
"","Creta","2024","https://hyundai-egypt.net/wp-content/uploads/2021/09/Creta-SU2-Brochure.pdf"
