Brand,Model,Year,Brochure_URL
Toyota,Corolla all trims,2026,https://toyota.com.eg/storage/49163/Corolla-2026-Brochure.pdf
,Fortuner GXL/Legend,2025,https://toyota.com.eg/storage/45120/Fortuner-Brochure.pdf
,Land Cruiser 250,2025,https://toyota.com.eg/storage/42053/Brochure-LC-250.pdf
,Hilux GLX,2025,https://toyota.com.eg/storage/2956/HILUX.pdf
,Camry,2025,https://toyota.com.eg/storage/49265/Camry.pdf
,RAV4,2025,https://toyota.com.eg/storage/2951/RAV-4.pdf
,Rumion,2025,https://toyota.com.eg/storage/40150/Rumion-Brochure.pdf
,Yaris Cross AT,2025,https://toyota.com.eg/storage/43120/Urban-Cruiser-Brochure.pdf
,Hiace Ace,2025,https://toyota.com.eg/storage/7007/Ace.pdf
MG,MG ZS Lux,2025,https://www.mgmotor.com.eg/wp-content/uploads/2023/03/MG-ZS.pdf
,MG HS,2025,https://www.mgmotor.com.eg/wp-content/uploads/2023/03/MG-HS.pdf
,MG 4 EV,2025,https://www.mgmotor.com.eg/wp-content/uploads/2024/03/MG4-borchure.pdf
,MG 7,2025,https://www.mgmotor.com.eg/wp-content/uploads/2024/05/MG7-Brochure.pdf
,MG 5 Amended,2025,https://www.mgmotor.com.eg/wp-content/uploads/2025/10/MG5-Amended-Brochure.pdf
,RX5 Plus,2025,https://www.mgmotor.com.eg/wp-content/uploads/2023/07/RX5-Plus-Brochure-English.pdf
,MG ONE,2025,https://www.mgmotor.com.eg/wp-content/uploads/2024/01/MG-ONE-Brochure.pdf
Mitsubishi,Xpander,2025,https://www.mitsubishimotors-eg.com/content/dam/mitsubishi-motors-eg/images/brochures/Xpander-Brochure.pdf
,Eclipse Cross,2025,https://www.mitsubishimotors-eg.com/content/dam/mitsubishi-motors-eg/images/brochures/Eclipse-Cross-Brochure.pdf
,Mirage,2025,https://www.mitsubishimotors-eg.com/content/dam/mitsubishi-motors-eg/images/brochures/23MY%20Mirage%20Brochure.pdf
,Attrage,2025,https://www.mitsubishimotors-eg.com/content/dam/mitsubishi-motors-eg/images/brochures/23MY%20Attrage%20Brochure.pdf
Renault,Megane Grand Coupé,2025,https://renault.com.eg/CountriesData/Egypt/images/Brochures/Megane_GrandCoupe.pdf
,Austral,2025,https://renault.com.eg/CountriesData/Egypt/images/Brochures/Austral_Brochure.pdf
,Duster Techno/Iconic,2026,https://renault.com.eg/CountriesData/Egypt/images/Brochures/Duster_Brochure.pdf
,Logan,2025,https://renault.com.eg/CountriesData/Egypt/images/Brochures/Logan_Brochure.pdf
Bestune,T77 Pro,2025,https://bestune-egypt.com/brochure/t77.pdf
,B70,2025,https://bestune-egypt.com/brochure/b70.pdf
,T55,2025,https://bestune-egypt.com/brochure/t55.pdf
BYD,F3,2025,http://www.byd-egypt.com/f3.html
,Song Plus DM-i,2025,http://www.byd-egypt.com/song-plus-dmi.html
,Atto 3,2025,http://www.byd-egypt.com/atto3.html
Suzuki,Swift,2025,https://www.suzuki.com.eg/cars/swift
,Dzire,2025,https://www.suzuki.com.eg/cars/dzire
,Ertiga,2025,https://www.suzuki.com.eg/cars/ertiga
