Brand,Model,Year,Brochure_URL
BMW,3 Series LCI,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/brochure-pool/april-2025/3_Series_Brochure_II.pdf.asset.1744715725290.pdf
,X1/iX1,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/brochure-pool/jan2025/X1_iX1_2025.pdf.asset.1736253050960.pdf
,5 Series/i5,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/brochure-pool/the_new_5_and_i5_brochure.pdf.asset.1708421382374.pdf
,X5 LCI,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/brochure-pool/december_2024/TheX5_MY2024.pdf.asset.1734599511281.pdf
,X2/iX2,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/all-models/x-series/THE-X2-iX2-Brochure.pdf.asset.1714058021077.pdf
,X6,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/brochure-pool/The_new_X6_Brochure.pdf.asset.1701147693683.pdf
,7 Series/i7,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/Home/Models/7-series/The_New_7_Brochure.pdf
,X3 M Sport,2025,https://www.bmw-egypt.com/content/dam/bmw/marketEG/bmw-eg_com/brochure-pool/X3_Brochure.pdf
Mercedes,C-Class W206,2025,https://www.mercedes-benz.com.eg/passengercars/owners-manuals/en-eg/pdf/mercedes-c-class-saloon-2025-october-w206-mbux-owners-manual-1.pdf
,E-Class W214,2025,https://www.mercedes-benz.com.eg/passengercars/owners-manuals/en-eg/pdf/mercedes-e-class-saloon-2024-september-w214-mbux-owners-manual-1.pdf
,GLC X254,2025,https://www.mercedes-benz.com.eg/passengercars/owners-manuals/en-eg/pdf/mercedes-glc-suv-2024-september-x254-mbux-owners-manual-1.pdf
,GLE 450 4MATIC,2026,https://www.mercedes-benz.com.eg/passengercars/buy/brochures.html
,GLS,2026,https://www.mercedes-benz.com.eg/passengercars/buy/brochures.html
Audi,Q3,2025,https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/Q3.pdf
,Q7,2025,https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/Q7.pdf
,Q8,2025,https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/Q8.pdf
,A3 Sedan,2025,https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/A3_Sedan.pdf
,A4 Sedan,2025,https://audi-eg.com/models/a4
,A6 Sedan,2025,https://audi-eg.com/models/a6
Porsche,Macan,2025,https://www.porsche.com/middle-east/_egypt_/models/macan/macan-models/macan/
,Cayenne,2025,https://www.porsche.com/middle-east/_egypt_/models/cayenne/cayenne-models/cayenne/
,911 Carrera,2025,https://www.porsche.com/middle-east/_egypt_/models/911/911-models/carrera/
Volvo,XC60,2025,https://www.volvocars.com/en-eg/cars/xc60/
,XC90,2025,https://www.volvocars.com/en-eg/cars/xc90/
,EX30,2025,https://www.volvocars.com/en-eg/cars/ex30-electric/
,XC40 Core/Ultimate,2025,https://www.volvocars.com/en-eg/cars/xc40/specifications/
,S60,2025,https://www.volvocars.com/en-eg/cars/s60/
