model_id,brand,name,type,confidence_score,matched_file
f94a486e-ebb5-4f6a-90da-27af8b7fc571,Suzuki,Swift,hero,0.00,NO_MATCH
f94a486e-ebb5-4f6a-90da-27af8b7fc571,Suzuki,Swift,hover,0.00,NO_MATCH
09476a7b-562e-489e-9f6c-68ac3ec40cce,Suzuki,Fronx,hero,0.00,NO_MATCH
09476a7b-562e-489e-9f6c-68ac3ec40cce,Suzuki,Fronx,hover,0.00,NO_MATCH
f569afb5-a5cc-49d3-b225-6c401e28434c,Fiat,Tipo,hero,0.00,NO_MATCH
f569afb5-a5cc-49d3-b225-6c401e28434c,Fiat,Tipo,hover,0.00,NO_MATCH
6b74cc2f-f94d-4a6f-870e-5edbf8ba7330,BYD,F3,hero,0.00,NO_MATCH
6b74cc2f-f94d-4a6f-870e-5edbf8ba7330,BYD,F3,hover,0.00,NO_MATCH
dcef5492-f5ab-48c9-9c11-a8057353afd3,Peugeot,3008,hero,0.00,NO_MATCH
dcef5492-f5ab-48c9-9c11-a8057353afd3,Peugeot,3008,hover,0.00,NO_MATCH
797c5a10-eddc-435a-826e-4ff0ae32230a,Opel,Mokka,hero,0.00,NO_MATCH
797c5a10-eddc-435a-826e-4ff0ae32230a,Opel,Mokka,hover,0.00,NO_MATCH
fec1e39c-d8d4-4c59-9937-b4df43a1c3a7,Jetour,X70,hero,0.00,NO_MATCH
fec1e39c-d8d4-4c59-9937-b4df43a1c3a7,Jetour,X70,hover,0.00,NO_MATCH
de5111bf-e380-4060-b883-2cbe84b01fc9,Haval,Jolion,hero,0.00,NO_MATCH
de5111bf-e380-4060-b883-2cbe84b01fc9,Haval,Jolion,hover,0.00,NO_MATCH
f34618fa-fa74-4c3d-a6df-2dffd98a58a5,Citroën,C4,hero,0.00,NO_MATCH
f34618fa-fa74-4c3d-a6df-2dffd98a58a5,Citroën,C4,hover,0.00,NO_MATCH
fe909b15-f9ec-40d7-948a-51be2ca6bce8,BAIC,X3,hero,0.00,NO_MATCH
fe909b15-f9ec-40d7-948a-51be2ca6bce8,BAIC,X3,hover,0.00,NO_MATCH
222576a1-45ed-4bbc-a390-955f60634020,JAC,J7,hero,0.00,NO_MATCH
222576a1-45ed-4bbc-a390-955f60634020,JAC,J7,hover,0.00,NO_MATCH
0e77c7e9-51f5-445e-8dc3-7ed4561ed243,Renault,Kardian 2025,hero,0.69,Renault-megane-2024.jpg
0e77c7e9-51f5-445e-8dc3-7ed4561ed243,Renault,Kardian 2025,hover,0.64,audi-a8-2025.jpg
26de3258-a4d2-4c06-a6d2-23625b6d6efa,Renault,Kardian 2026,hero,0.69,Renault-megane-2024.jpg
26de3258-a4d2-4c06-a6d2-23625b6d6efa,Renault,Kardian 2026,hover,0.64,audi-a5-2026.jpg
f8705318-f23e-4ee4-a7e8-0b2f791de5c2,Renault,Taliant 2026,hero,0.69,Renault-megane-2024.jpg
f8705318-f23e-4ee4-a7e8-0b2f791de5c2,Renault,Taliant 2026,hover,0.63,Renault-duster-2024.jpg
cae0f472-aca5-4d34-96ae-118c0d9ec1bd,Renault,Taliant 2025,hero,0.69,Renault-megane-2024.jpg
cae0f472-aca5-4d34-96ae-118c0d9ec1bd,Renault,Taliant 2025,hover,0.63,Renault-duster-2024.jpg
2e74b8c3-6b2b-41ee-93eb-ad6f477b6664,HAVAL,H6 2025,hero,0.00,NO_MATCH
2e74b8c3-6b2b-41ee-93eb-ad6f477b6664,HAVAL,H6 2025,hover,0.00,NO_MATCH
5a18e7be-1b91-4c1a-b578-831b54a7f375,Cupra,Terramar 2026,hero,0.00,NO_MATCH
